firstName,bio,gender,age,country,interests
Liam,"Easygoing and family-minded. Looking for a genuine connection.",man,24,USA,"Travelling, Fitness, Movies, Music, Nature, Sports"
Noah,"Career-focused but I always make time for good people and good food.",man,25,USA,"Cooking, Reading, Coffee, Hiking, Photography, Pets"
Oliver,"I enjoy staying active, weekend trips, and quiet nights in.",man,26,USA,"Fitness, Sports, Games, Music, Nature, Biking"
Elijah,"Loyal, respectful, and positive. Looking for something real.",man,27,USA,"Running, Meditation & Yoga, Cooking, Nature, Music, Museums & Art"
James,"I love travelling, discovering new places, and making simple moments memorable.",man,28,USA,"Dancing, Music & Concerts, Cooking, Socializing, Travelling, Nature"
William,"Calm personality with a good sense of humour. I value honesty and consistency.",man,29,USA,"Biking, Camping, Hiking, Nature, Sports, Cars"
Benjamin,"I work hard and enjoy fitness, movies, and time with close friends.",man,30,USA,"Travelling, Fitness, Movies, Music, Nature, Sports"
Lucas,"Open-minded and thoughtful. I appreciate deep conversations and trust.",man,31,USA,"Cooking, Reading, Coffee, Hiking, Photography, Camping"
Henry,"Easygoing and family-minded. Looking for someone kind to build with.",man,32,USA,"Fitness, Sports, Games, Music, Nature, Biking"
Alexander,"Career-focused but I always make time for good people and good food.",man,33,USA,"Running, Meditation & Yoga, Cooking, Nature, Music, Museums & Art"
Mason,"I enjoy staying active, weekend trips, and quiet nights in.",man,34,USA,"Dancing, Music & Concerts, Cooking, Socializing, Travelling, Nature"
Michael,"Loyal, respectful, and positive. Looking for something real.",man,35,USA,"Biking, Camping, Hiking, Nature, Sports, Fishing & Hunting"
Ethan,"I love travelling and making simple moments memorable with the right person.",man,36,USA,"Travelling, Fitness, Movies, Music, Nature, Sports"
Daniel,"Calm personality with a good sense of humour. I value honesty and consistency.",man,24,USA,"Cooking, Reading, Coffee, Hiking, Photography, Pets"
Jacob,"I work hard and enjoy fitness, movies, and time with close friends.",man,25,USA,"Fitness, Sports, Games, Music, Nature, Biking"
Logan,"Open-minded and thoughtful. I appreciate deep conversations and mutual respect.",man,26,USA,"Running, Meditation & Yoga, Cooking, Nature, Music, Museums & Art"
Jackson,"Easygoing and family-minded. Looking for a genuine connection.",man,27,USA,"Dancing, Music & Concerts, Cooking, Socializing, Travelling, Nature"
Levi,"Career-focused but I always make time for good people and good food.",man,28,USA,"Biking, Camping, Hiking, Nature, Sports, Cars"
Sebastian,"I enjoy staying active, weekend trips, and quiet nights in.",man,29,USA,"Travelling, Fitness, Movies, Music, Nature, Sports"
Mateo,"Loyal, respectful, and positive. Looking for something real.",man,30,USA,"Cooking, Reading, Coffee, Hiking, Photography, Camping"
Jack,"I love travelling and making simple moments memorable with the right person.",man,31,USA,"Fitness, Sports, Games, Music, Nature, Biking"
Owen,"Calm personality with a good sense of humour. I value honesty and consistency.",man,32,USA,"Running, Meditation & Yoga, Cooking, Nature, Music, Museums & Art"
Theodore,"I work hard and enjoy fitness, movies, and time with close friends.",man,33,USA,"Dancing, Music & Concerts, Cooking, Socializing, Travelling, Nature"
Aiden,"Open-minded and thoughtful. I appreciate deep conversations and trust.",man,34,USA,"Biking, Camping, Hiking, Nature, Sports, Fishing & Hunting"
Samuel,"Easygoing and family-minded. Looking for someone kind to build with.",man,35,USA,"Travelling, Fitness, Movies, Music, Nature, Sports"
Joseph,"Career-focused but I always make time for good people and good food.",man,36,USA,"Cooking, Reading, Coffee, Hiking, Photography, Pets"
John,"I enjoy staying active, weekend trips, and quiet nights in.",man,24,USA,"Fitness, Sports, Games, Music, Nature, Biking"
David,"Loyal, respectful, and positive. Looking for something real.",man,25,USA,"Running, Meditation & Yoga, Cooking, Nature, Music, Museums & Art"
Wyatt,"I love travelling and making simple moments memorable with the right person.",man,26,USA,"Dancing, Music & Concerts, Cooking, Socializing, Travelling, Nature"
Matthew,"Calm personality with a good sense of humour. I value honesty and consistency.",man,27,USA,"Biking, Camping, Hiking, Nature, Sports, Cars"
Luke,"I work hard and enjoy fitness, movies, and time with close friends.",man,28,USA,"Travelling, Fitness, Movies, Music, Nature, Sports"
Asher,"Open-minded and thoughtful. I appreciate deep conversations and mutual respect.",man,29,USA,"Cooking, Reading, Coffee, Hiking, Photography, Camping"
Carter,"Easygoing and family-minded. Looking for a genuine connection.",man,30,USA,"Fitness, Sports, Games, Music, Nature, Biking"
Julian,"Career-focused but I always make time for good people and good food.",man,31,USA,"Running, Meditation & Yoga, Cooking, Nature, Music, Museums & Art"
Grayson,"I enjoy staying active, weekend trips, and quiet nights in.",man,32,USA,"Dancing, Music & Concerts, Cooking, Socializing, Travelling, Nature"
Leo,"Loyal, respectful, and positive. Looking for something real.",man,33,USA,"Biking, Camping, Hiking, Nature, Sports, Fishing & Hunting"
Jayden,"I love travelling and making simple moments memorable with the right person.",man,34,USA,"Travelling, Fitness, Movies, Music, Nature, Sports"
Gabriel,"Calm personality with a good sense of humour. I value honesty and consistency.",man,35,USA,"Cooking, Reading, Coffee, Hiking, Photography, Pets"
Isaac,"I work hard and enjoy fitness, movies, and time with close friends.",man,36,USA,"Fitness, Sports, Games, Music, Nature, Biking"
Lincoln,"Open-minded and thoughtful. I appreciate deep conversations and trust.",man,24,USA,"Running, Meditation & Yoga, Cooking, Nature, Music, Museums & Art"
Anthony,"Easygoing and family-minded. Looking for someone kind to build with.",man,25,USA,"Dancing, Music & Concerts, Cooking, Socializing, Travelling, Nature"
Hudson,"Career-focused but I always make time for good people and good food.",man,26,USA,"Biking, Camping, Hiking, Nature, Sports, Cars"
Dylan,"I enjoy staying active, weekend trips, and quiet nights in.",man,27,USA,"Travelling, Fitness, Movies, Music, Nature, Sports"
Ezra,"Loyal, respectful, and positive. Looking for something real.",man,28,USA,"Cooking, Reading, Coffee, Hiking, Photography, Camping"
Thomas,"I love travelling and making simple moments memorable with the right person.",man,29,USA,"Fitness, Sports, Games, Music, Nature, Biking"
Charles,"Calm personality with a good sense of humour. I value honesty and consistency.",man,30,USA,"Running, Meditation & Yoga, Cooking, Nature, Music, Museums & Art"
Christopher,"I work hard and enjoy fitness, movies, and time with close friends.",man,31,USA,"Dancing, Music & Concerts, Cooking, Socializing, Travelling, Nature"
Jaxon,"Open-minded and thoughtful. I appreciate deep conversations and mutual respect.",man,32,USA,"Biking, Camping, Hiking, Nature, Sports, Fishing & Hunting"
Maverick,"Easygoing and family-minded. Looking for a genuine connection.",man,33,USA,"Travelling, Fitness, Movies, Music, Nature, Sports"
Josiah,"Career-focused but I always make time for good people and good food.",man,34,USA,"Cooking, Reading, Coffee, Hiking, Photography, Pets"
Isaiah,"I enjoy staying active, weekend trips, and quiet nights in.",man,35,USA,"Fitness, Sports, Games, Music, Nature, Biking"
